Source,Target,Count
清大,工程,17
清大,校慶,15
清大,希望,13
邀請,清華,16
清華,校園,56
清大,國際,30
未來,清華,10
原科,中心,12
大學,今年,26
大學,邀請,11
物理系,教授,25
象徵,清大,11
清大,腦,14
大學,化工系,26
代表,清華,10
國立,清華,687
介紹,清華,11
名,清華,17
大學,資工系,20
名,清大,14
與,系統,13
清大,邁向,10
清大,人文,10
學院,執行長,18
清大,服務,15
進,清大,12
系統,科學,10
資訊,工程,21
清華,圖書館,15
今天,在,10
國際,志工,18
清大,今天,29
大學,資訊,22
清大,在,11
管理,學院,18
清大,名譽,28
大學,材料,15
清大,研發,13
清大,師生,32
同,源,11
考上,清大,13
清大,校園,67
大學,電機,25
清大,校友會,15
工業,工程,18
進入,清華,28
清大,工學院,19
包括,清華,12
清華,服務,10
給,清華,27
清大,校長,385
大學,校友,12
清華,住宿,14
獲得,清華,11
學術,列車,14
作者,為,11
清華,講座,24
梅竹,工作會,10
清大,學務長,17
清大,生物,17
原住民,教育,18
清大,團隊,32
清大,化工系,34
大學,師生,10
清大,材料系,45
清華,專班,30
大學,高中,14
建,校,15
教務長,陳信文,40
清華,團隊,17
副校長,馮達旋,13
在,台,11
科學,研究,19
大學,創校,16
百,年,22
大學,特殊,11
日,在,15
清大,數學系,12
管理,研究所,10
校,內,10
大學,腦,29
大學,校長,202
大學,今天,106
清大,台積館,13
捐贈給,清大,11
包括,清大,10
清華,大學,3679
教務長,戴念華,18
元,給,11
同,根,11
北京,清華,362
大學,榮譽,10
清華,設點,10
清大,原科,12
就讀,清大,20
協助,清大,11
大學,科技,32
清大,提供,11
大學,教務長,38
清華,就讀,20
清華,同,15
清華,精神,10
清大,中文系,17
開放,學堂,19
清大,聯合,18
今年,清華,21
大學,名譽,12
新竹,清華,383
大學,化學,12
社會,學院,15
清大,任教,14
大學,清華,13
清大,天文,21
清大,畢業生,11
給,清大,30
清大,指出,50
補助,清大,11
生命,科學,43
清大,禮堂,14
為,清華,11
清華,前,13
清華,歷史,15
學院,學士班,11
清華,電機,31
交通,大學,14
大學,合作,17
清大,今年,25
高雄,清華,11
大學,聯合,25
清大,EMBA,14
化學系,教授,12
清大,百,33
清華,學堂,52
慶祝,清華,10
校園,徵才,13
材料系,教授,11
教授,周卓煇,10
清華,創業,15
清大,昨天,11
清華,愛樂,12
大學,自行車社,12
工程,與,13
前,校長,21
大學,前,13
大,草坪,11
大學,昨,10
大學,藝術,15
大學,校園,26
年,清華,11
清華,校友會,18
清大,合作,12
清大,合唱團,16
清大,圖書館,48
大陸,清華,10
清大,原子,10
兩岸,清大,20
藝術,中心,37
大學,服務,11
就讀,清華,21
科學,系,37
校長,劉炯朗,14
清大,教授,114
錄取,清大,20
根,同,11
大學,舉行,14
大學,物理系,51
清大,校友,42
大學,盲友會,10
邀請,清大,10
清大,自行車社,13
清大,電機,26
清大,生命,33
清大,化學系,21
大學,與,14
高中,小,12
清大,科技,16
清華,與,15
生物,科技,13
新竹,清大,81
大學,教授,76
清華,百,40
清大,生科院,10
百,歲,14
擔任,清大,19
回,清華,11
大學,國際,23
慶祝,百,13
大學,生命,61
清華,實驗班,10
清華,校訓,12
腦,科學,29
大學,化學系,28
屏北,高中,12
清華,名人,13
清大,志工,10
清大,研究,12
在,清華,12
清大,教務長,61
大學,副校長,54
大學,舉辦,14
清大,科管院,11
年,校慶,22
大學,旺宏館,10
大學,演講,14
工程,學系,14
清華,今年,14
住宿,學院,11
校長,賀陳弘,36
電機,工程,17
小,清華,187
清華,實驗室,64
清大,大,11
前,清華,16
機械,工程,10
清大,志工團,10
大學,圖書館,42
大學,工程,11
感謝,清大,11
高中,學術,14
執行長,王俊秀,17
大學,動力,17
教育,實驗,18
在,清大,15
學堂,n,18
進入,清大,12
大學,奈米,20
水木,清華,12
清大,分子,10
校長,陳力俊,268
清大,電機系,57
清華,EMBA,10
大學,慶祝,19
校長,顧秉林,11
大學,天文,14
工程,系,13
生命,科學院,18
清大,資工系,21
大學,學術,11
清大,副校長,65
清華,紫荊季,11
清華,校友,41
獲,清大,15
人文,社會,23
成為,清大,17
大學,電機系,16
清華,創校,15
實驗,專班,18
天文,研究所,12
科學,中心,10
清華,材料,15
創業,日,13
清華,師生,35
清華,電機系,25
成為,清華,17
帶領,清大,10
原住民,專班,17
清華,名師,26
大學,百,26
擔任,清華,23
大學,新任,10
大學,數學系,10
名譽,博士,25
清大,經濟系,10
捐贈,清大,13
清大,盲友會,10
副校長,葉銘泉,36
大學,經濟系,12
清大,學子,14
清華,計畫,19
大學,出版社,13
服務,科學,13
與,交大,12
前,清大,23
清華,學院,141
研究,中心,10
清大,材料,21
教授,李家維,17
清華,學子,21
清大,創校,14
清華,未來,12
今天,舉行,27
化工系,教授,12
清大,OLED,12
清華,紫荊,14
清大,動機系,12
清大,建,17
捐給,清大,19
動力,機械,13
聯合,研發,15
清華,原住民,39
獲,清華,10
清華,共同,12
清大,資工,13
大學,共同,11
清大,動力,18
奈米,工程,20
研發,中心,15
清大,去年,12
清大,校訓,11
清華,開放,19
設點,招生,10
大學,人文,26
大學,昨天,34
大學,生物,16
清大,物理系,36
清大,梅竹,15
清大,舉行,13
清大,前,24
清大,體育館,10
與,交通,15
大學,研發,10
大學,材料系,20
陳力俊,指出,12
之,友,10
兩岸,清華,258
清大,藝術,37
清華,校長,28
科技,管理,28
清大,育成,12
清華,基金,13
清大,演講,24
清華,之,10
系,教授,12
大學,工業,18
大學,中文系,12
清大,邀請,12
大學,科管院,10
北京,清大,63
大學,合唱團,11
清大,校,11
