Id,Count
體育館,104
化學系,99
藝術,388
去年,543
學院,705
協助,390
同,254
執行長,78
葉銘泉,132
n,26
研究所,470
包括,621
清華,7186
台,746
旺宏館,85
昨,160
人文,240
電機系,184
校園,632
學術,895
服務,816
畢業生,215
兩岸,647
賀陳弘,258
獲得,750
科學,1499
高雄,151
原子,210
校友會,84
象徵,84
歷史,292
校長,1582
科管院,50
工學院,88
日,1471
工程,693
實驗,377
學堂,81
材料,616
電機,221
自行車社,43
副校長,303
獲,443
系,469
教育,1306
分子,207
王俊秀,114
根,60
生科院,28
聯合,410
成為,684
紫荊,23
元,1175
小,704
住宿,112
源,32
捐給,46
舉行,456
戴念華,75
名譽,162
介紹,157
設點,12
資訊,505
代表,364
合唱團,43
創業,373
高中,731
資工系,87
劉炯朗,100
OLED,165
歲,537
梅竹,253
水木,65
化學,204
基金,119
學系,272
EMBA,59
招生,329
志工,413
化工系,108
大陸,533
就讀,266
馮達旋,107
原科,27
動機系,52
腦,253
開放,200
生命,440
提供,890
清大,5363
陳信文,127
機械,238
交通,287
今天,662
生物,426
捐贈,230
百,637
工業,204
紫荊季,11
北京,567
圖書館,321
回,149
經濟系,62
新竹,1341
作者,82
盲友會,20
共同,594
演講,415
學務長,53
校訓,77
進,87
講座,439
屏北,124
李家維,192
社會,909
創校,110
補助,281
教授,2059
系統,809
周卓煇,75
合作,1198
研究,3269
邀請,467
友,29
列車,152
捐贈給,34
邁向,80
帶領,239
昨天,478
團隊,1418
工作會,34
學子,276
名人,39
原住民,498
精神,275
博士,726
台積館,41
任教,117
希望,1274
計畫,966
資工,32
未來,1176
志工團,167
校友,675
舉辦,750
實驗班,26
感謝,158
材料系,147
育成,87
擔任,461
中心,1410
考上,49
禮堂,28
名,1735
研發,871
徵才,98
愛樂,17
校,1431
特殊,214
學士班,106
今年,1387
奈米,58
指出,721
科技,1151
出版社,51
中文系,65
慶祝,144
天文,146
榮譽,179
科學院,139
顧秉林,44
教務長,170
數學系,38
交大,431
前,1291
名師,56
大學,7818
給,420
物理系,204
錄取,210
陳力俊,961
師生,401
進入,413
實驗室,322
動力,143
內,834
新任,71
校慶,372
管理,430
國立,957
草坪,31
專班,185
國際,1535
建,184
